frame_index,timestamp_ms,hand_detected,detection_confidence,tracking_confidence,l0_x,l0_y,l0_z,l1_x,l1_y,l1_z,l2_x,l2_y,l2_z,l3_x,l3_y,l3_z,l4_x,l4_y,l4_z,l5_x,l5_y,l5_z,l6_x,l6_y,l6_z,l7_x,l7_y,l7_z,l8_x,l8_y,l8_z,l9_x,l9_y,l9_z,l10_x,l10_y,l10_z,l11_x,l11_y,l11_z,l12_x,l12_y,l12_z,l13_x,l13_y,l13_z,l14_x,l14_y,l14_z,l15_x,l15_y,l15_z,l16_x,l16_y,l16_z,l17_x,l17_y,l17_z,l18_x,l18_y,l18_z,l19_x,l19_y,l19_z,l20_x,l20_y,l20_z
0,0,True,0.9964,0.9964,0.664077,0.96204,-0.0,0.605797,0.916007,-0.007332,0.572945,0.862861,-0.019174,0.54666,0.826219,-0.034999,0.527494,0.796822,-0.052148,0.620965,0.749762,-0.0182,0.614919,0.677945,-0.039677,0.614716,0.626381,-0.057919,0.617245,0.582117,-0.072258,0.643062,0.75891,-0.026599,0.559108,0.763793,-0.056793,0.536752,0.82335,-0.06631,0.541456,0.865149,-0.068438,0.653316,0.79045,-0.035928,0.570767,0.79657,-0.061484,0.553233,0.844888,-0.055927,0.555371,0.884038,-0.046898,0.654489,0.832369,-0.046954,0.599093,0.820663,-0.065329,0.571791,0.834506,-0.061647,0.557834,0.853915,-0.053863
1,33,True,0.9935,0.9935,0.663704,0.962777,-0.0,0.604914,0.91583,-0.005386,0.569999,0.862366,-0.015382,0.544868,0.826542,-0.029305,0.527644,0.795685,-0.043522,0.615526,0.756139,-0.017325,0.61517,0.679853,-0.03982,0.614842,0.627259,-0.055622,0.614776,0.581732,-0.067698,0.641145,0.764833,-0.026442,0.560193,0.768941,-0.058271,0.540026,0.829388,-0.065428,0.544032,0.868648,-0.065217,0.654148,0.794313,-0.036814,0.57217,0.800834,-0.064968,0.554065,0.848443,-0.059158,0.556416,0.885147,-0.048596,0.658164,0.832644,-0.048409,0.606622,0.81802,-0.071058,0.578034,0.828208,-0.07133,0.563962,0.846258,-0.065342
2,66,True,0.9947,0.9947,0.664239,0.962775,-0.0,0.604891,0.915187,-0.005255,0.569257,0.861283,-0.015293,0.54368,0.825898,-0.029118,0.528063,0.794948,-0.043312,0.615654,0.755988,-0.018378,0.614626,0.679751,-0.041155,0.614323,0.62704,-0.057142,0.614073,0.581335,-0.06927,0.641388,0.765713,-0.027349,0.56041,0.770041,-0.059177,0.539182,0.830272,-0.066576,0.541943,0.870114,-0.066703,0.654377,0.796026,-0.037447,0.572329,0.802038,-0.065655,0.553167,0.849643,-0.060122,0.554967,0.887072,-0.049741,0.6582,0.835053,-0.048642,0.607482,0.818844,-0.071188,0.578571,0.827255,-0.071667,0.564313,0.844046,-0.065916
3,100,True,0.9942,0.9942,0.664048,0.962646,-0.0,0.605237,0.915488,-0.005312,0.569632,0.86175,-0.015595,0.544133,0.826679,-0.029694,0.527775,0.794804,-0.044137,0.615815,0.755699,-0.01793,0.614423,0.679962,-0.040635,0.614151,0.62752,-0.056762,0.614108,0.581856,-0.068969,0.641232,0.76509,-0.02707,0.560534,0.76853,-0.058286,0.539858,0.827374,-0.065685,0.543219,0.865565,-0.065972,0.653694,0.794679,-0.037361,0.571628,0.800554,-0.064806,0.553288,0.847384,-0.058821,0.555933,0.883445,-0.048387,0.656955,0.83286,-0.048822,0.603671,0.817965,-0.070419,0.575681,0.828646,-0.069935,0.562994,0.846394,-0.063598
4,133,True,0.9946,0.9946,0.665751,0.961461,-0.0,0.605691,0.91428,-0.005238,0.569593,0.861771,-0.015812,0.543884,0.828254,-0.030217,0.527369,0.796088,-0.044948,0.61662,0.755284,-0.017582,0.614619,0.679541,-0.040639,0.613609,0.62675,-0.057065,0.613015,0.580608,-0.069321,0.641288,0.764545,-0.026998,0.56081,0.766956,-0.058157,0.539564,0.825622,-0.06564,0.542965,0.863638,-0.065901,0.653153,0.793162,-0.037615,0.571175,0.798359,-0.064834,0.552793,0.845084,-0.058619,0.55608,0.880578,-0.048004,0.656038,0.830386,-0.049419,0.60144,0.816257,-0.070247,0.575387,0.828781,-0.068777,0.565559,0.847615,-0.061718
5,166,True,0.995,0.995,0.66527,0.960881,-0.0,0.605465,0.913138,-0.004982,0.569289,0.859862,-0.015548,0.543355,0.82612,-0.029974,0.526532,0.795136,-0.044751,0.615681,0.754184,-0.017683,0.614173,0.678968,-0.041204,0.61362,0.626253,-0.058026,0.613043,0.580191,-0.070587,0.640763,0.764184,-0.027472,0.559789,0.765911,-0.059197,0.539024,0.825331,-0.066742,0.542555,0.863992,-0.066999,0.653023,0.793816,-0.03848,0.570721,0.799008,-0.06651,0.552362,0.846453,-0.060348,0.555626,0.882451,-0.049588,0.656242,0.831679,-0.050593,0.601353,0.816158,-0.072268,0.574884,0.829124,-0.071022,0.564598,0.848487,-0.064048
6,200,True,0.9954,0.9954,0.664879,0.959874,-0.0,0.605176,0.91154,-0.005044,0.568178,0.857881,-0.015858,0.541728,0.824367,-0.030623,0.525596,0.793424,-0.045697,0.614893,0.753762,-0.017245,0.613889,0.677918,-0.041006,0.613539,0.625017,-0.057717,0.613108,0.579163,-0.07005,0.640053,0.764432,-0.027047,0.560013,0.765151,-0.059172,0.53909,0.824041,-0.066554,0.542531,0.861951,-0.066472,0.652612,0.79384,-0.038157,0.571393,0.797316,-0.066611,0.552995,0.843953,-0.060139,0.556376,0.878989,-0.048908,0.656164,0.831057,-0.050366,0.602011,0.814697,-0.072074,0.576113,0.827647,-0.070421,0.566486,0.846626,-0.063003
7,233,True,0.996,0.996,0.665564,0.959408,-0.0,0.604663,0.910182,-0.004,0.567483,0.856382,-0.014466,0.540623,0.823052,-0.029307,0.522256,0.792888,-0.044603,0.615543,0.75275,-0.015553,0.613711,0.677385,-0.039326,0.613421,0.624672,-0.056116,0.612877,0.579059,-0.068464,0.640141,0.763614,-0.026073,0.559667,0.762974,-0.058799,0.537614,0.823142,-0.066746,0.539885,0.86312,-0.066853,0.652622,0.793408,-0.037889,0.571365,0.795558,-0.06737,0.552099,0.843872,-0.061634,0.554784,0.881312,-0.050494,0.65614,0.83114,-0.050629,0.603134,0.813102,-0.073295,0.576523,0.825538,-0.072334,0.565993,0.845045,-0.065231
8,266,True,0.9962,0.9962,0.665915,0.957603,-0.0,0.604473,0.907841,-0.004485,0.566913,0.85435,-0.01553,0.539198,0.821478,-0.030961,0.51908,0.793506,-0.046821,0.614371,0.750613,-0.015553,0.613124,0.676237,-0.03967,0.613164,0.623899,-0.056456,0.612871,0.579097,-0.068686,0.63941,0.761975,-0.026211,0.558939,0.760626,-0.059519,0.536878,0.821129,-0.067437,0.539248,0.86125,-0.067282,0.652291,0.792349,-0.038319,0.570991,0.794404,-0.068783,0.552055,0.84288,-0.063236,0.555402,0.879925,-0.051893,0.655944,0.830597,-0.051334,0.602583,0.811868,-0.074561,0.576211,0.823841,-0.073706,0.566227,0.842371,-0.066589
9,300,True,0.996,0.996,0.664617,0.956709,-0.0,0.603536,0.906792,-0.004044,0.56627,0.853114,-0.014903,0.538767,0.820558,-0.030185,0.517398,0.792065,-0.045961,0.613944,0.749585,-0.015503,0.612084,0.675413,-0.039736,0.611894,0.623145,-0.056839,0.611418,0.578181,-0.069424,0.639272,0.761276,-0.026469,0.557991,0.758864,-0.059356,0.536245,0.819384,-0.067023,0.538987,0.858587,-0.066956,0.652164,0.792175,-0.038901,0.570289,0.793257,-0.068987,0.551184,0.841576,-0.06311,0.554475,0.878083,-0.051838,0.655682,0.831068,-0.05224,0.601152,0.812282,-0.075756,0.573347,0.825838,-0.074967,0.562136,0.845939,-0.067973
10,333,True,0.9959,0.9959,0.663774,0.956966,-0.0,0.603348,0.907635,-0.003284,0.566331,0.853605,-0.013748,0.538414,0.821369,-0.028717,0.51521,0.792221,-0.044211,0.613383,0.749623,-0.015744,0.611804,0.675043,-0.039451,0.611698,0.622418,-0.055966,0.611669,0.577721,-0.068151,0.63873,0.761003,-0.026916,0.557727,0.759624,-0.059322,0.535241,0.819532,-0.066718,0.537291,0.859133,-0.066594,0.651836,0.792237,-0.039374,0.570406,0.79497,-0.068682,0.551141,0.842466,-0.06275,0.553897,0.878483,-0.051771,0.655855,0.831527,-0.052696,0.602861,0.812991,-0.075823,0.574741,0.823865,-0.075321,0.562696,0.841323,-0.068724
