frame_index,timestamp_ms,hand_detected,detection_confidence,tracking_confidence,l0_x,l0_y,l0_z,l1_x,l1_y,l1_z,l2_x,l2_y,l2_z,l3_x,l3_y,l3_z,l4_x,l4_y,l4_z,l5_x,l5_y,l5_z,l6_x,l6_y,l6_z,l7_x,l7_y,l7_z,l8_x,l8_y,l8_z,l9_x,l9_y,l9_z,l10_x,l10_y,l10_z,l11_x,l11_y,l11_z,l12_x,l12_y,l12_z,l13_x,l13_y,l13_z,l14_x,l14_y,l14_z,l15_x,l15_y,l15_z,l16_x,l16_y,l16_z,l17_x,l17_y,l17_z,l18_x,l18_y,l18_z,l19_x,l19_y,l19_z,l20_x,l20_y,l20_z
0,0,True,0.9995,0.9995,0.22745,0.636163,0.0,0.293856,0.628514,-0.020854,0.358096,0.566292,-0.02779,0.396816,0.499753,-0.035522,0.424151,0.446714,-0.043447,0.329148,0.458344,-0.015423,0.356209,0.367081,-0.035579,0.379411,0.313154,-0.049407,0.395714,0.265382,-0.060561,0.296947,0.451891,-0.01979,0.33138,0.396561,-0.05477,0.33612,0.466902,-0.069061,0.327482,0.514748,-0.072449,0.259237,0.45485,-0.026752,0.296007,0.396044,-0.06683,0.300848,0.474427,-0.067839,0.291576,0.525505,-0.05934,0.214895,0.461716,-0.034937,0.249291,0.425995,-0.06901,0.264138,0.484214,-0.072223,0.262811,0.528168,-0.068065
1,33,True,0.9991,0.9991,0.231472,0.638186,0.0,0.293431,0.623351,-0.024471,0.352576,0.561182,-0.038091,0.386717,0.496102,-0.053301,0.417993,0.442397,-0.068318,0.319749,0.435708,-0.013826,0.349176,0.35634,-0.038955,0.371111,0.304072,-0.053269,0.384849,0.256693,-0.062691,0.286263,0.428714,-0.016827,0.324981,0.385105,-0.060891,0.324144,0.467465,-0.071027,0.310483,0.515324,-0.066443,0.249548,0.432897,-0.023419,0.288024,0.385159,-0.07245,0.292853,0.472431,-0.064543,0.281908,0.52378,-0.045172,0.205574,0.445343,-0.031365,0.24341,0.414733,-0.069642,0.259724,0.478572,-0.065006,0.257812,0.522989,-0.051339
2,66,True,0.9989,0.9989,0.230186,0.632559,0.0,0.292324,0.617426,-0.024899,0.352961,0.552685,-0.039442,0.384501,0.486982,-0.055313,0.413869,0.429029,-0.071084,0.319329,0.427335,-0.015391,0.349387,0.344809,-0.041894,0.371633,0.295435,-0.057088,0.387548,0.251232,-0.06662,0.286438,0.421069,-0.01839,0.327067,0.380525,-0.063013,0.324902,0.465123,-0.072321,0.309647,0.513803,-0.067273,0.249576,0.4271,-0.025174,0.287873,0.383553,-0.073646,0.290587,0.470243,-0.063595,0.278414,0.519507,-0.043028,0.205516,0.441696,-0.033426,0.242186,0.405233,-0.069188,0.25882,0.467353,-0.061102,0.255959,0.511199,-0.045378
3,100,True,0.9987,0.9987,0.228512,0.630686,0.0,0.290817,0.614065,-0.024223,0.351404,0.547226,-0.037669,0.382863,0.479517,-0.052335,0.41261,0.422859,-0.066854,0.318256,0.423648,-0.014859,0.348266,0.339969,-0.040755,0.36913,0.291214,-0.055005,0.384,0.247029,-0.06402,0.285305,0.417753,-0.017848,0.326655,0.37403,-0.062785,0.32488,0.459336,-0.072018,0.310346,0.509447,-0.066711,0.248544,0.42396,-0.024516,0.286741,0.378279,-0.073413,0.289058,0.46619,-0.063423,0.277094,0.515908,-0.042697,0.204836,0.438549,-0.032488,0.241099,0.400273,-0.068413,0.255987,0.463194,-0.060392,0.251977,0.506688,-0.04474
4,133,True,0.9985,0.9985,0.228948,0.629003,0.0,0.290873,0.611753,-0.024867,0.35153,0.544839,-0.038527,0.38292,0.476447,-0.053404,0.413072,0.420328,-0.06801,0.318713,0.418962,-0.014835,0.348891,0.335528,-0.041074,0.368621,0.287156,-0.055585,0.382944,0.242335,-0.064846,0.28521,0.412267,-0.017503,0.326234,0.370737,-0.062803,0.323539,0.456928,-0.072133,0.309372,0.50686,-0.066926,0.248349,0.418094,-0.023974,0.286483,0.374607,-0.072863,0.288017,0.462671,-0.062954,0.276796,0.512583,-0.042329,0.204907,0.432722,-0.031887,0.241233,0.396125,-0.067587,0.255799,0.459112,-0.059809,0.252618,0.502531,-0.044352
5,166,True,0.998,0.998,0.231182,0.62695,0.0,0.292979,0.609224,-0.026159,0.353177,0.542992,-0.040542,0.384499,0.475448,-0.056027,0.414684,0.420072,-0.071125,0.321346,0.414942,-0.01553,0.351828,0.330935,-0.042364,0.370495,0.282025,-0.057459,0.384031,0.236423,-0.067041,0.287397,0.407807,-0.017656,0.327196,0.366644,-0.063904,0.324679,0.453281,-0.073708,0.311376,0.505231,-0.068625,0.249968,0.413266,-0.023749,0.287575,0.370192,-0.072887,0.28897,0.457988,-0.063175,0.278338,0.509493,-0.042542,0.206317,0.427711,-0.031484,0.242786,0.391361,-0.067075,0.256844,0.454222,-0.059422,0.253613,0.498362,-0.043971
6,200,True,0.9976,0.9976,0.234395,0.624804,0.0,0.296702,0.605566,-0.026499,0.356046,0.539321,-0.041295,0.385567,0.470813,-0.057274,0.415341,0.415568,-0.072825,0.325469,0.41265,-0.015737,0.355163,0.328222,-0.042668,0.372575,0.278698,-0.057902,0.385206,0.233388,-0.067483,0.291174,0.405491,-0.017468,0.32941,0.364761,-0.063328,0.326701,0.449546,-0.073018,0.313329,0.501294,-0.068027,0.25355,0.410935,-0.02321,0.290063,0.366805,-0.071662,0.291204,0.453348,-0.061885,0.280372,0.505759,-0.041393,0.209361,0.425435,-0.030701,0.2454,0.388566,-0.06585,0.259453,0.449892,-0.058407,0.256316,0.494105,-0.04314
7,233,True,0.9979,0.9979,0.237751,0.622369,0.0,0.299474,0.603659,-0.025257,0.360035,0.537327,-0.039481,0.389193,0.469303,-0.054763,0.418039,0.414971,-0.06958,0.329883,0.40972,-0.015712,0.358936,0.325294,-0.041945,0.376179,0.276035,-0.057066,0.388173,0.230751,-0.06674,0.295973,0.402949,-0.017785,0.333653,0.361505,-0.061597,0.331065,0.445718,-0.070724,0.317254,0.49455,-0.066118,0.259212,0.408699,-0.023595,0.295245,0.363898,-0.070053,0.296673,0.449702,-0.059583,0.285637,0.499285,-0.039509,0.215808,0.423278,-0.03106,0.251179,0.386116,-0.064471,0.263937,0.447328,-0.056065,0.259673,0.489527,-0.04077
8,266,True,0.9976,0.9976,0.241144,0.622981,0.0,0.304384,0.601687,-0.025327,0.364076,0.536176,-0.039499,0.392687,0.468375,-0.054686,0.421617,0.412901,-0.069477,0.334005,0.408702,-0.014996,0.362651,0.326567,-0.040149,0.380156,0.276985,-0.054928,0.393165,0.23091,-0.064641,0.30002,0.401495,-0.016969,0.337219,0.360584,-0.05949,0.334805,0.442342,-0.068872,0.320987,0.491113,-0.064697,0.263158,0.407161,-0.022637,0.298432,0.364359,-0.067909,0.30056,0.447143,-0.05845,0.28998,0.495822,-0.039339,0.219905,0.421709,-0.029963,0.255035,0.384493,-0.062557,0.268653,0.444414,-0.05454,0.26458,0.487095,-0.039663
9,300,True,0.9974,0.9974,0.244864,0.621003,0.0,0.308673,0.600717,-0.025997,0.367981,0.537233,-0.040765,0.396674,0.470035,-0.056655,0.425942,0.415442,-0.072067,0.339091,0.409435,-0.014833,0.365921,0.326294,-0.039959,0.383495,0.276063,-0.05468,0.39733,0.229568,-0.064362,0.305451,0.401908,-0.016525,0.342959,0.361609,-0.060086,0.338867,0.442988,-0.069892,0.323416,0.49278,-0.065589,0.269089,0.406771,-0.022017,0.304806,0.364139,-0.06809,0.305943,0.446945,-0.059067,0.294945,0.497198,-0.039866,0.226053,0.420084,-0.029254,0.262176,0.384544,-0.062529,0.274572,0.444847,-0.055269,0.269929,0.488009,-0.040718
